Nome,Punteggio,Fantamedia anno 2024-2025,Fantamedia anno 2023-2024,Fantamedia anno 2022-2023,Presenze 2024-2025,Fanta Media 2024-2025,FM su tot gare 2024-2025,Presenze previste,Gol previsti,Assist previsti,Ruolo,Skills,Buon investimento,Resistenza infortuni,Consigliato prossima giornata,Nuovo acquisto,Infortunato,Squadra,Trend,Presenze campionato corrente
HERNANI JUNIOR,70,6.46,nd,nd,24,6.46,4.08,21/30,3/5,3/5,CEN,"['Panchinaro', 'Buona Media']",40,60,False,False,False,Parma,STABLE,24
BERNABE ADRIAN,69,6.47,nd,nd,18,6.47,3.06,30+,4/7,4/7,CEN,"['Outsider', 'Titolare', 'Buona Media', 'Goleador', 'Assistman', 'Rigorista', 'Piazzati', 'Giovane talento']",60,60,True,False,False,Parma,STABLE,18
RICHARDSON AMIR,71,5.83,nd,nd,24,5.83,3.68,21/30,3/5,0/3,CEN,"['Panchinaro', 'Giovane talento']",40,60,False,False,False,Fiorentina,STABLE,24
LOFTUS-CHEEK RUBEN,69,5.76,6.73,nd,17,5.76,2.58,11/20,0/3,3/5,CEN,"['Panchinaro', 'Buona Media']",60,60,False,False,False,Milan,DOWN,17
GILMOUR BILLY,69,6.06,nd,nd,17,6.06,2.71,11/20,0/2,0/2,CEN,"['Panchinaro', 'Buona Media', 'Falloso']",60,60,False,False,False,Napoli,STABLE,17
DEIOLA ALESSANDRO,69,6.17,5.40,nd,23,6.17,3.73,21/30,0/3,0/3,CEN,['Panchinaro'],40,40,True,False,False,Cagliari,UP,23
SULEMANA IBRAHIM,69,7.08,6.13,5.77,6,7.08,1.12,11/20,0/2,0/2,CEN,"['Panchinaro', 'Giovane talento']",40,80,False,False,False,Atalanta,UP,6
BIANCO ALESSANDRO,69,5.85,nd,nd,33,5.85,5.08,11/20,0/3,0/3,CEN,"['Panchinaro', 'Goleador', 'Falloso', 'Giovane talento']",20,60,False,False,False,Fiorentina,STABLE,33
ANJORIN TINO,69,6.57,nd,nd,21,6.57,3.63,21/30,3/5,3/5,CEN,"['Outsider', 'Titolare', 'Assistman']",60,60,False,True,False,Torino,STABLE,21
ADOPO MICHEL,68,5.91,6.00,5.75,33,5.91,5.13,21/30,0/3,0/2,CEN,['Titolare'],40,60,False,False,False,Cagliari,DOWN,33
MIRETTI FABIO,67,6.42,5.92,6.02,25,6.42,4.22,21/30,0/3,3/5,CEN,"['Panchinaro', 'Giovane talento']",40,60,False,True,True,Juventus,UP,25
SAMARDZIC LAZAR,68,6.28,6.77,6.59,27,6.28,4.46,21/30,3/5,3/5,CEN,"['Outsider', 'Titolare', 'Buona Media', 'Goleador', 'Assistman', 'Piazzati', 'Giovane talento']",40,60,False,False,False,Atalanta,DOWN,27
ZERBIN ALESSIO,67,6.11,5.93,5.63,18,6.11,2.89,11/20,3/5,0/3,CEN,"['Panchinaro', 'Goleador', 'Giovane talento']",40,60,False,True,False,Cremonese,UP,18
POBEGA TOMMASO,66,6.25,5.93,6.25,20,6.25,3.29,11/20,0/3,0/3,CEN,"['Panchinaro', 'Buona Media', 'Falloso']",40,60,True,False,False,Bologna,UP,20
RAMADANI YLBER,66,5.92,5.73,nd,25,5.92,3.89,21/30,0/3,0/2,CEN,"['Titolare', 'Falloso']",40,60,False,False,False,Lecce,UP,25
KARLSTROM JESPER,67,5.79,nd,nd,35,5.79,5.33,21/30,0/3,0/3,CEN,"['Titolare', 'Buona Media']",40,60,False,False,False,Udinese,STABLE,35
ARTHUR MELO,67,nd,6.23,nd,15,0.00,0.00,0/10,0/3,0/2,CEN,['Panchinaro'],40,40,False,False,False,Juventus,STABLE,0
COLLOCOLO MICHELE,65,nd,nd,nd,34,6.74,6.03,21/30,3/5,3/5,CEN,"['Outsider', 'Titolare', 'Goleador', 'Falloso']",60,60,False,False,False,Cremonese,STABLE,0
FERGUSON LEWIS,66,6.39,6.97,6.85,14,6.39,2.35,21/30,0/3,0/3,CEN,"['Titolare', 'Falloso']",20,20,False,False,False,Bologna,DOWN,14
EKKELENKAMP JURGEN PETER,66,6.31,nd,nd,31,6.31,5.15,21/30,3/5,0/3,CEN,['Panchinaro'],40,60,False,False,False,Udinese,STABLE,31
FABBIAN GIOVANNI,65,6.50,6.73,nd,21,6.50,3.59,11/20,3/5,0/3,CEN,"['Panchinaro', 'Goleador', 'Falloso', 'Giovane talento']",40,60,False,False,False,Bologna,DOWN,21
CASADEI CESARE,63,6.27,nd,nd,15,6.27,2.48,21/30,3/5,3/5,CEN,"['Outsider', 'Titolare', 'Buona Media', 'Assistman']",60,80,False,False,False,Torino,STABLE,15
SUCIC PETAR,65,nd,nd,nd,26,0.00,0.00,21/30,0/3,3/5,CEN,"['Panchinaro', 'Buona Media', 'Giovane talento']",40,80,False,True,False,Inter,STABLE,0
GRASSI ALBERTO,64,5.80,5.77,5.85,27,5.80,4.12,11/20,0/3,0/3,CEN,['Panchinaro'],40,40,False,True,False,Cremonese,UP,27
THORSBY MORTEN,64,5.62,6.30,nd,26,5.62,3.85,21/30,0/2,0/2,CEN,['Titolare'],40,60,False,False,False,Genoa,DOWN,26
BENNACER ISMAEL,63,5.50,6.56,6.46,5,5.50,0.72,11/20,0/3,0/3,CEN,['Panchinaro'],20,40,False,False,False,Milan,DOWN,5
DIOUF ANDY ALUNE,64,nd,nd,nd,34,0.00,0.00,11/20,3/5,3/5,CEN,"['Panchinaro', 'Assistman', 'Giovane talento']",40,80,False,True,False,Inter,STABLE,0
HELGASON THORIR J.,63,6.25,nd,5.79,20,6.25,3.29,11/20,0/1,0/1,CEN,"['Titolare', 'Piazzati']",60,40,True,False,False,Lecce,STABLE,20
VOLPATO CRISTIAN,63,nd,6.03,6.67,18,0.00,0.00,21/30,3/5,4/7,CEN,"['Panchinaro', 'Buona Media', 'Assistman', 'Piazzati', 'Giovane talento']",80,80,False,False,False,Sassuolo,STABLE,0
KEITA MANDELA,63,5.66,nd,nd,28,5.66,4.17,21/30,0/3,0/3,CEN,"['Titolare', 'Falloso', 'Giovane talento']",60,60,False,False,False,Parma,STABLE,28
BOLOCA DANIEL,63,nd,5.81,nd,34,0.00,0.00,30+,0/3,0/3,CEN,"['Outsider', 'Titolare', 'Falloso']",40,60,False,False,False,Sassuolo,STABLE,0
ELLERTSSON MIKAEL EGILL,63,6.20,nd,5.70,33,6.20,5.38,21/30,0/3,0/3,CEN,"['Titolare', 'Piazzati', 'Giovane talento']",40,60,False,True,False,Genoa,STABLE,33
SERDAR SUAT,62,6.05,5.95,nd,20,6.05,3.18,21/30,3/5,3/5,CEN,"['Titolare', 'Piazzati', 'Falloso']",60,60,False,False,False,Verona,UP,20
BAYEYE BRIAN JEPHTE,63,nd,nd,nd,7,0.00,0.00,11/20,0/1,0/2,CEN,['Panchinaro'],40,60,False,False,False,Torino,STABLE,0
PAYERO MARTIN,62,6.00,6.06,nd,24,6.00,3.79,21/30,3/5,3/5,CEN,"['Titolare', 'Goleador', 'Piazzati']",60,40,False,True,False,Cremonese,DOWN,24
ATTA ARTHUR,61,5.89,nd,nd,23,5.89,3.57,21/30,3/5,3/5,CEN,"['Panchinaro', 'Goleador', 'Giovane talento']",40,60,True,False,False,Udinese,STABLE,23
SANTIAGO PEREZ JESUS,61,nd,nd,nd,19,0.00,0.00,21/30,0/3,0/3,CEN,['Titolare'],40,80,False,True,False,Verona,STABLE,0
PIERRET BALTHAZAR,61,5.73,nd,nd,28,5.73,4.22,11/20,0/3,0/3,CEN,"['Titolare', 'Falloso']",40,60,False,False,False,Lecce,STABLE,28
SUSLOV TOMAS,59,5.75,6.30,nd,30,5.75,4.54,11/20,0/3,0/3,CEN,"['Outsider', 'Titolare', 'Assistman', 'Falloso', 'Giovane talento']",40,60,False,False,True,Verona,DOWN,30
SORENSEN OLIVIER,60,nd,nd,nd,28,0.00,0.00,21/30,3/5,3/5,CEN,"['Outsider', 'Titolare']",40,60,False,True,False,Parma,STABLE,0
GINEITIS GVIDAS,61,6.22,6.20,nd,27,6.22,4.42,11/20,0/3,0/3,CEN,"['Panchinaro', 'Giovane talento']",20,60,False,False,False,Torino,UP,27
STANCIU NICOLAE,60,nd,nd,nd,0,0.00,0.00,21/30,3/5,3/5,CEN,"['Titolare', 'Buona Media']",60,60,False,True,False,Genoa,STABLE,0
ILKHAN EMIRHAN,60,nd,nd,5.75,0,0.00,0.00,11/20,0/3,0/3,CEN,"['Panchinaro', 'Goleador', 'Assistman', 'Piazzati', 'Giovane talento']",40,60,False,False,False,Torino,STABLE,0
MUSAH YUNUS,59,5.60,5.85,nd,25,5.60,3.68,11/20,0/3,0/2,CEN,"['Panchinaro', 'Buona Media', 'Falloso', 'Giovane talento']",60,60,False,False,False,Milan,DOWN,25
PIOTROWSKI JAKUB,59,nd,nd,nd,20,0.00,0.00,21/30,3/5,0/3,CEN,"['Outsider', 'Titolare']",60,60,False,True,False,Udinese,STABLE,0
ILIC IVAN,58,5.93,6.41,6.34,15,5.93,2.34,21/30,0/3,0/3,CEN,['Titolare'],40,60,False,False,False,Torino,DOWN,15
ENGELHARDT YANNIK,59,6.07,nd,nd,15,6.07,2.40,21/30,0/3,0/3,CEN,"['Titolare', 'Buona Media', 'Giovane talento']",40,60,False,False,False,Como,STABLE,15
PISILLI NICCOLO,59,6.13,nd,nd,23,6.13,3.71,11/20,0/3,0/3,CEN,"['Panchinaro', 'Giovane talento']",20,60,False,False,False,Roma,STABLE,23
FOLORUNSHO MICHAEL,58,5.79,6.44,nd,12,5.79,1.83,21/30,3/5,0/2,CEN,"['Titolare', 'Goleador', 'Falloso']",40,40,False,True,False,Cagliari,DOWN,12
PICKEL CHARLES,58,nd,nd,5.64,31,0.00,0.00,21/30,0/2,0/2,CEN,"['Titolare', 'Falloso']",40,60,False,False,False,Cremonese,STABLE,0
MAZZITELLI LUCA,58,6.50,6.54,nd,7,6.50,1.20,21/30,0/3,3/5,CEN,"['Panchinaro', 'Assistman', 'Falloso']",60,40,False,True,False,Cagliari,DOWN,7
MILLER LENNON LEE,58,nd,nd,nd,32,6.27,5.28,11/20,0/3,3/5,CEN,"['Titolare', 'Buona Media', 'Assistman', 'Piazzati', 'Falloso', 'Giovane talento']",40,80,False,True,False,Udinese,STABLE,0
BUCHANAN TAJON,58,5.83,nd,nd,3,5.83,0.46,0/10,0/3,0/3,CEN,['Panchinaro'],40,40,False,False,False,Inter,STABLE,3
MORO NIKOLA,58,6.03,6.22,6.30,15,6.03,2.38,11/20,0/2,0/2,CEN,['Titolare'],40,40,False,False,False,Bologna,DOWN,15
TERRACCIANO FILIPPO,57,5.57,5.89,6.12,7,5.57,1.03,21/30,0/3,0/3,CEN,"['Panchinaro', 'Buona Media', 'Giovane talento']",40,60,False,True,False,Cremonese,DOWN,7
ZARRAGA OIER,58,5.94,6.93,nd,18,5.94,2.81,21/30,0/2,0/3,CEN,"['Panchinaro', 'Buona Media']",60,60,False,False,False,Udinese,DOWN,18
TAMEZE ADRIEN,58,5.81,5.76,5.77,13,5.81,1.99,21/30,0/3,0/2,CEN,"['Titolare', 'Falloso']",40,80,False,False,False,Torino,UP,13
LERIS MEHDI,57,nd,nd,5.80,3,0.00,0.00,11/20,0/3,0/3,CEN,['Panchinaro'],40,60,False,False,False,Pisa,STABLE,0
BERNEDE ANTOINE,56,5.96,nd,nd,12,5.96,1.88,21/30,0/3,3/5,CEN,"['Titolare', 'Buona Media']",40,40,False,False,False,Verona,STABLE,12
HASA LUIS,57,nd,nd,nd,0,0.00,0.00,0/10,0/3,0/3,CEN,"['Panchinaro', 'Assistman', 'Falloso', 'Giovane talento']",40,60,False,False,False,Napoli,STABLE,0
AEBISCHER MICHEL,57,5.67,5.90,5.90,12,5.67,1.79,21/30,0/3,0/3,CEN,"['Titolare', 'Buona Media', 'Falloso']",40,40,False,True,False,Pisa,DOWN,12
ALLI DELE,57,3.50,nd,nd,1,3.50,0.09,11/20,3/5,3/5,CEN,"['Panchinaro', 'Goleador']",40,40,False,False,False,Como,STABLE,1
MASINI PATRIZIO,56,nd,nd,nd,26,6.06,4.15,21/30,0/3,0/3,CEN,"['Titolare', 'Buona Media']",40,60,False,False,False,Genoa,STABLE,0
KONÈ ISMAEL,56,nd,nd,nd,13,0.00,0.00,21/30,0/3,0/3,CEN,['Titolare'],40,60,False,True,False,Sassuolo,STABLE,0
CALIGARA FABRIZIO,55,nd,nd,nd,7,0.00,0.00,11/20,0/3,0/3,CEN,['Panchinaro'],40,60,False,True,False,Sassuolo,STABLE,0
KABA MOHAMED,55,5.83,5.73,nd,12,5.83,1.84,30+,0/3,0/3,CEN,"['Panchinaro', 'Falloso', 'Giovane talento']",40,60,False,False,False,Lecce,UP,12
IANNONI EDOARDO,55,nd,nd,nd,22,0.00,0.00,11/20,0/3,0/3,CEN,"['Panchinaro', 'Buona Media']",40,80,False,False,False,Sassuolo,STABLE,0
MALEH YOUSSEF,56,5.74,5.64,5.76,21,5.74,3.17,11/20,0/3,0/3,CEN,"['Panchinaro', 'Buona Media', 'Falloso']",40,60,False,False,False,Lecce,UP,21
SALA HERRERO ÁLEX,55,nd,nd,nd,37,0.00,0.00,21/30,0/3,0/3,CEN,"['Panchinaro', 'Goleador', 'Falloso']",60,60,False,True,False,Lecce,STABLE,0
BASIC TOMA,55,nd,5.35,6.18,0,0.00,0.00,11/20,3/5,0/3,CEN,"['Panchinaro', 'Falloso']",40,80,False,False,False,Lazio,STABLE,0
ORDONEZ CHRISTIAN NAHUEL,54,nd,nd,nd,42,0.00,0.00,11/20,0/3,3/5,CEN,"['Panchinaro', 'Buona Media', 'Assistman', 'Giovane talento']",40,60,False,True,False,Parma,STABLE,0
BOHINEN EMIL,54,5.00,5.82,5.82,2,5.00,0.26,11/20,0/2,0/2,CEN,['Panchinaro'],40,80,False,True,False,Genoa,DOWN,2
VRANKX ASTER,54,nd,nd,5.80,14,0.00,0.00,11/20,0/3,0/3,CEN,"['Panchinaro', 'Goleador', 'Piazzati']",40,60,False,True,False,Sassuolo,STABLE,0
LIPANI LUCA,53,nd,5.92,nd,22,0.00,0.00,11/20,0,0,CEN,"['Outsider', 'Titolare', 'Giovane talento']",40,60,False,False,False,Sassuolo,STABLE,0
HARROUI ABDOU,54,6.40,6.84,6.24,10,6.40,1.68,21/30,0/3,0/3,CEN,['Titolare'],40,60,False,False,False,Verona,DOWN,10
CASSA FEDERICO,53,nd,nd,nd,0,0.00,0.00,0/10,0,0,CEN,"['Panchinaro', 'Giovane talento']",20,20,False,False,False,Atalanta,STABLE,0
CIAMMAGLICHELLA AARON,53,nd,nd,nd,7,0.00,0.00,0/10,0/1,0/1,CEN,"['Panchinaro', 'Giovane talento']",40,40,False,True,False,Torino,STABLE,0
BERISHA MEDON,52,nd,nd,nd,17,0.00,0.00,11/20,0/2,0/2,CEN,"['Outsider', 'Panchinaro']",20,60,False,False,False,Lecce,STABLE,0
VALOTI MATTIA,53,5.50,nd,5.71,1,5.50,0.14,11/20,3/5,0/3,CEN,['Panchinaro'],40,60,False,False,False,Cremonese,STABLE,1
MARIN MARIUS MIHAI,51,nd,nd,nd,34,0.00,0.00,21/30,0/2,0/2,CEN,"['Titolare', 'Falloso']",40,80,False,False,False,Pisa,STABLE,0
PRATI MATTEO,52,5.80,5.94,nd,10,5.80,1.53,21/30,0/3,0/3,CEN,"['Titolare', 'Piazzati', 'Giovane talento']",40,60,False,False,False,Cagliari,DOWN,10
TRAORE IDRISSA,51,nd,nd,nd,33,0.00,0.00,21/30,0/3,0/3,CEN,"['Titolare', 'Falloso']",40,80,False,False,False,Pisa,STABLE,0
ESTEVEZ NAHUEL,50,5.71,nd,nd,12,5.71,1.80,0/10,0/2,0/2,CEN,"['Panchinaro', 'Falloso']",40,60,False,False,False,Parma,STABLE,12
BONDO WARREN,51,5.77,5.78,5.50,22,5.77,3.34,21/30,0/1,0/1,CEN,['Titolare'],40,60,False,True,False,Cremonese,DOWN,22
GHION ANDREA,51,nd,nd,nd,23,0.00,0.00,11/20,0/3,0/3,CEN,['Panchinaro'],40,60,False,False,False,Sassuolo,STABLE,0
CYPRIEN WYLAN,50,5.75,nd,nd,2,5.75,0.30,11/20,0/3,0/3,CEN,['Panchinaro'],40,60,False,False,False,Parma,STABLE,2
KOVAC NIKO,50,nd,nd,nd,37,0.00,0.00,0/10,0/2,0/2,CEN,"['Panchinaro', 'Buona Media', 'Giovane talento']",40,60,False,True,False,Lecce,STABLE,0
NDOUR CHER,49,5.64,nd,nd,7,5.64,1.04,11/20,0/3,0/3,CEN,"['Outsider', 'Panchinaro', 'Goleador', 'Giovane talento']",40,60,False,False,False,Fiorentina,STABLE,7
NIASSE CHEIKH,49,5.32,nd,nd,11,5.32,1.54,21/30,0/3,0/3,CEN,"['Titolare', 'Falloso']",60,60,False,False,False,Verona,STABLE,11
FELICI MATTIA,51,5.97,nd,nd,18,5.97,2.83,21/30,3/5,0/3,CEN,"['Outsider', 'Titolare', 'Goleador']",40,60,False,False,False,Cagliari,STABLE,18
AKINSANMIRO EBENEZER,49,nd,nd,nd,35,0.00,0.00,11/20,0/2,0/2,CEN,['Titolare'],40,80,False,True,False,Pisa,STABLE,0
HOJHOLT MALTHE,47,nd,nd,nd,30,0.00,0.00,21/30,0/3,0/3,CEN,['Panchinaro'],40,80,False,False,False,Pisa,STABLE,0
PICCININI GABRIELE,47,nd,nd,nd,38,0.00,0.00,21/30,0/2,0/2,CEN,['Panchinaro'],40,60,False,False,False,Pisa,STABLE,0
CAMARA DRISSA,47,5.92,nd,nd,12,5.92,1.87,11/20,0/3,0/3,CEN,"['Panchinaro', 'Falloso', 'Giovane talento']",40,40,False,False,False,Parma,STABLE,12
GORTER OLAF,48,nd,nd,nd,38,0.00,0.00,0/10,0/1,0/1,CEN,"['Panchinaro', 'Giovane talento']",40,80,False,True,False,Lecce,STABLE,0
ROG MARKO,45,nd,nd,nd,22,0.00,0.00,0/10,0/2,0/2,CEN,"['Panchinaro', 'Falloso']",40,20,False,False,False,Cagliari,STABLE,0
CHARLYS MATHEUS L.P.,45,nd,nd,nd,27,0.00,0.00,0/10,0/3,0/3,CEN,"['Panchinaro', 'Falloso', 'Giovane talento']",20,60,False,True,False,Verona,STABLE,0
INFANTINO GINO,47,nd,5.50,nd,3,0.00,0.00,0/10,0/3,0/3,CEN,['Panchinaro'],20,60,False,False,False,Fiorentina,STABLE,0
ADZIC VASILIJE,47,6.00,nd,nd,1,6.00,0.16,0/10,0/3,0/3,CEN,"['Panchinaro', 'Giovane talento']",20,60,False,False,False,Juventus,STABLE,1
KRSTOVIC NIKOLA,92,6.90,6.32,nd,35,6.90,6.36,21/30,8/11,3/5,ATT,"['Titolare', 'Buona Media', 'Goleador', 'Rigorista']",40,60,True,True,False,Atalanta,UP,35
LUKAKU ROMELU,96,7.64,7.26,7.66,35,7.64,7.04,21/30,12/15,3/5,ATT,"['Fuoriclasse', 'Titolare', 'Goleador', 'Rigorista']",60,40,False,False,True,Napoli,UP,35
CASTAGNETTI MICHELE,45,nd,nd,5.88,0,0.00,0.00,11/20,0,0/2,CEN,['Panchinaro'],20,60,False,False,False,Cremonese,STABLE,0
LOOKMAN ADEMOLA,98,7.90,7.41,7.92,30,7.90,6.24,21/30,8/11,4/7,ATT,"['Fuoriclasse', 'Titolare', 'Buona Media', 'Goleador', 'Rigorista']",40,40,True,False,False,Atalanta,UP,30
KEAN MOISE,91,8.07,5.92,6.52,29,8.07,6.16,30+,16/19,3/5,ATT,"['Fuoriclasse', 'Titolare', 'Buona Media', 'Goleador', 'Rigorista', 'Falloso']",80,80,False,False,False,Fiorentina,UP,29
LEAO RAFAEL,89,7.16,7.39,7.90,32,7.16,6.03,21/30,12/15,4/7,ATT,"['Fuoriclasse', 'Titolare', 'Buona Media', 'Goleador', 'Assistman']",40,60,False,False,True,Milan,DOWN,32
MARTINEZ LAUTARO,86,7.61,8.81,8.16,28,7.61,5.61,21/30,12/15,3/5,ATT,"['Fuoriclasse', 'Titolare', 'Buona Media', 'Goleador', 'Rigorista']",60,80,False,False,False,Inter,DOWN,28
CASTELLANOS TATY,85,7.07,6.12,nd,28,7.07,5.21,21/30,4/7,0/3,ATT,"['Titolare', 'Goleador', 'Rigorista', 'Falloso']",40,60,False,False,False,Lazio,UP,28
DIA BOULAYE,90,6.91,6.53,7.82,34,6.91,6.18,21/30,8/11,4/7,ATT,"['Outsider', 'Panchinaro', 'Buona Media', 'Goleador', 'Rigorista']",60,40,False,False,False,Lazio,UP,34
LUCCA LORENZO,89,7.18,6.75,nd,31,7.18,5.86,11/20,8/11,3/5,ATT,"['Panchinaro', 'Goleador', 'Rigorista', 'Giovane talento']",40,60,True,True,False,Napoli,UP,31
DOVBYK ARTEM,83,7.10,nd,nd,30,7.10,5.61,21/30,8/11,4/7,ATT,"['Outsider', 'Titolare', 'Buona Media', 'Goleador', 'Rigorista']",80,60,False,False,False,Roma,STABLE,30
VLAHOVIC DUSAN,84,7.48,7.60,7.16,24,7.48,4.72,11/20,8/11,4/7,ATT,"['Panchinaro', 'Buona Media', 'Goleador', 'Rigorista', 'Piazzati']",40,60,False,False,False,Juventus,DOWN,24
GONZALEZ NICOLAS,84,6.41,7.20,6.86,22,6.41,3.71,11/20,3/5,3/5,ATT,"['Panchinaro', 'Piazzati', 'Falloso']",40,40,False,False,False,Juventus,DOWN,22
DAVID JONATHAN CHRISTIAN,81,nd,nd,nd,32,0.00,0.00,30+,12/15,3/5,ATT,"['Titolare', 'Buona Media', 'Goleador', 'Rigorista']",80,80,False,True,False,Juventus,STABLE,0
SCAMACCA GIANLUCA,83,nd,7.85,nd,0,0.00,0.00,0/10,0/3,0/3,ATT,"['Outsider', 'Titolare', 'Goleador', 'Falloso']",60,40,False,False,False,Atalanta,STABLE,0
PICCOLI ROBERTO,80,6.81,6.45,6.22,35,6.81,6.27,21/30,4/7,0/3,ATT,"['Titolare', 'Falloso']",40,60,False,True,False,Fiorentina,UP,35
DZEKO EDIN,78,nd,nd,7.25,35,0.00,0.00,11/20,4/7,3/5,ATT,"['Fuoriclasse', 'Titolare', 'Buona Media', 'Goleador', 'Assistman', 'Rigorista', 'Piazzati']",60,60,False,True,False,Fiorentina,STABLE,0
YILDIZ KENAN,78,7.02,6.09,nd,32,7.02,5.91,21/30,8/11,3/5,ATT,"['Outsider', 'Titolare', 'Giovane talento']",40,60,False,False,False,Juventus,UP,32
MORATA ALVARO,81,6.79,nd,nd,14,6.79,2.50,21/30,16/19,3/5,ATT,"['Outsider', 'Titolare', 'Buona Media', 'Goleador', 'Rigorista']",60,60,False,True,False,Como,STABLE,14
IMMOBILE CIRO,79,nd,6.63,7.48,30,0.00,0.00,21/30,12/15,3/5,ATT,"['Titolare', 'Goleador', 'Rigorista']",60,40,False,True,True,Bologna,STABLE,0
BERARDI DOMENICO,80,nd,8.06,8.10,29,0.00,0.00,30+,12/15,8/11,ATT,"['Fuoriclasse', 'Titolare', 'Goleador', 'Assistman', 'Rigorista', 'Piazzati']",80,40,False,False,False,Sassuolo,STABLE,0
BONNY ANGE-YOAN,78,6.56,nd,nd,36,6.56,6.21,21/30,4/7,4/7,ATT,"['Titolare', 'Buona Media', 'Assistman', 'Giovane talento']",60,80,True,True,False,Inter,STABLE,36
LANG NOA NOELL,78,nd,nd,nd,29,0.00,0.00,21/30,4/7,4/7,ATT,"['Titolare', 'Goleador', 'Assistman']",40,60,False,True,False,Napoli,STABLE,0
ADAMS CHÈ,78,6.70,nd,nd,33,6.70,5.82,21/30,8/11,3/5,ATT,"['Outsider', 'Titolare', 'Goleador', 'Rigorista', 'Piazzati']",60,60,True,False,False,Torino,STABLE,33
DYBALA PAULO,78,7.34,8.29,8.24,19,7.34,3.67,21/30,8/11,4/7,ATT,"['Fuoriclasse', 'Titolare', 'Buona Media', 'Goleador', 'Assistman', 'Rigorista', 'Piazzati']",60,40,False,False,False,Roma,DOWN,19
PEDRO ELEIZIER R. LEDESMA,78,7.33,6.00,6.53,27,7.33,5.21,11/20,4/7,4/7,ATT,"['Panchinaro', 'Goleador', 'Rigorista']",60,40,False,False,False,Lazio,UP,27
SULEMANA KAMALDEEN,77,nd,nd,nd,26,0.00,0.00,21/30,3/5,4/7,ATT,"['Titolare', 'Assistman', 'Piazzati']",60,40,False,True,False,Atalanta,STABLE,0
GIMENEZ SANTIAGO,77,6.77,nd,nd,13,6.77,2.32,21/30,8/11,4/7,ATT,"['Outsider', 'Titolare', 'Goleador', 'Rigorista']",60,60,False,False,False,Milan,STABLE,13
ROWE JONATHAN DAVID HENRY,77,nd,nd,nd,28,0.00,0.00,21/30,4/7,4/7,ATT,"['Outsider', 'Titolare', 'Goleador', 'Giovane talento']",40,60,False,True,False,Bologna,STABLE,0
NZOLA M'BALA,77,nd,6.13,7.39,21,0.00,0.00,21/30,8/11,0/3,ATT,"['Titolare', 'Buona Media', 'Goleador', 'Rigorista']",40,60,False,True,False,Pisa,STABLE,0
ABOUKHLAL ZAKARIA,77,nd,nd,nd,26,0.00,0.00,21/30,4/7,3/5,ATT,"['Outsider', 'Titolare', 'Goleador', 'Piazzati']",40,60,False,True,False,Torino,STABLE,0
ZAPATA DUVAN,77,7.33,7.31,6.27,6,7.33,1.16,11/20,4/7,3/5,ATT,"['Titolare', 'Goleador', 'Rigorista']",40,40,False,False,False,Torino,UP,6
BELTRAN LUCAS,75,6.43,6.70,nd,29,6.43,4.91,11/20,3/5,3/5,ATT,"['Panchinaro', 'Rigorista']",40,60,False,False,False,Fiorentina,DOWN,29
PINAMONTI ANDREA,77,6.73,6.75,6.06,35,6.73,6.20,30+,8/11,3/5,ATT,"['Titolare', 'Buona Media', 'Goleador', 'Rigorista']",60,60,True,True,False,Sassuolo,DOWN,35
SOULE' MATIAS,75,7.04,7.12,6.57,23,7.04,4.26,21/30,8/11,4/7,ATT,"['Outsider', 'Titolare', 'Buona Media', 'Goleador', 'Assistman', 'Giovane talento']",40,40,True,False,False,Roma,DOWN,23
KUHN NICOLAS-GERRIT,75,nd,nd,nd,28,0.00,0.00,21/30,4/7,3/5,ATT,"['Titolare', 'Goleador']",40,60,False,True,False,Como,STABLE,0
MILIK ARKADIUSZ,75,nd,6.48,6.74,1,0.00,0.00,11/20,3/5,0/2,ATT,"['Panchinaro', 'Buona Media', 'Piazzati']",20,40,False,False,True,Juventus,STABLE,0
FERGUSON EVAN,74,nd,nd,nd,21,0.00,0.00,11/20,3/5,0/3,ATT,"['Outsider', 'Panchinaro', 'Giovane talento']",40,80,False,True,False,Roma,STABLE,0
KOUAME' CHRISTIAN,74,5.93,6.32,6.63,21,5.93,3.28,11/20,3/5,3/5,ATT,"['Panchinaro', 'Buona Media']",40,40,False,True,False,Fiorentina,DOWN,21
CONCEICAO FRANCISCO,74,6.50,nd,nd,25,6.50,4.28,11/20,3/5,3/5,ATT,"['Outsider', 'Titolare', 'Piazzati', 'Falloso', 'Giovane talento']",40,60,True,False,False,Juventus,STABLE,25
THURAM MARCUS,75,7.72,7.95,nd,29,7.72,5.89,21/30,12/15,4/7,ATT,"['Fuoriclasse', 'Titolare', 'Buona Media', 'Goleador', 'Assistman']",60,60,False,False,False,Inter,DOWN,29
ISAKSEN GUSTAV,74,6.37,6.46,nd,35,6.37,5.87,21/30,4/7,3/5,ATT,"['Panchinaro', 'Goleador']",60,60,False,False,False,Lazio,DOWN,35
CAMBIAGHI NICOLO,72,6.50,6.20,6.90,17,6.50,2.91,21/30,4/7,3/5,ATT,"['Outsider', 'Titolare', 'Buona Media', 'Giovane talento']",40,60,True,False,False,Bologna,UP,17
LUVUMBO ZITO,70,6.30,6.76,nd,25,6.30,4.14,11/20,3/5,3/5,ATT,"['Titolare', 'Giovane talento']",40,60,True,False,False,Cagliari,DOWN,25
