Nome,Punteggio,Fantamedia anno 2024-2025,Fantamedia anno 2023-2024,Fantamedia anno 2022-2023,Presenze 2024-2025,Fanta Media 2024-2025,FM su tot gare 2024-2025,Presenze previste,Gol previsti,Assist previsti,Ruolo,Skills,Buon investimento,Resistenza infortuni,Consigliato prossima giornata,Nuovo acquisto,Infortunato,Squadra,Trend,Presenze campionato corrente
ROBERTO SERGI,55,5.77,nd,nd,11,5.77,1.67,11/20,0/3,3/5,DIF,"['Titolare', 'Buona Media', 'Assistman']",60,20,False,False,False,Como,STABLE,11
PALACIOS TOMAS,54,5.08,nd,nd,6,5.08,0.80,11/20,0/2,0/1,DIF,"['Outsider', 'Panchinaro', 'Falloso']",40,60,False,True,False,Inter,STABLE,6
NUNEZ UNAI,54,nd,nd,nd,10,0.00,0.00,21/30,0/2,0/2,DIF,['Titolare'],40,60,False,True,False,Verona,STABLE,0
PALESTRA MARCO,55,nd,nd,nd,0,0.00,0.00,0/10,0,0,DIF,"['Panchinaro', 'Giovane talento']",20,60,False,False,False,Atalanta,STABLE,0
NAVEROS JACOBO RAMON,54,nd,nd,nd,0,0.00,0.00,11/20,0/3,0/1,DIF,"['Panchinaro', 'Giovane talento']",20,60,False,True,False,Como,STABLE,0
DE SILVESTRI LORENZO,53,6.10,6.77,5.96,15,6.10,2.41,11/20,0/3,0/3,DIF,['Panchinaro'],80,80,False,False,False,Bologna,DOWN,15
COUBIS ANDREI,53,nd,nd,nd,34,0.00,0.00,0/10,0/1,0/1,DIF,"['Panchinaro', 'Falloso', 'Giovane talento']",40,80,False,True,False,Milan,STABLE,0
HERMOSO MARIO,53,4.88,nd,nd,4,4.88,0.51,11/20,0/3,0/3,DIF,"['Panchinaro', 'Buona Media', 'Falloso']",60,60,False,True,False,Roma,STABLE,4
RENSCH DEVYNE,53,6.19,nd,nd,8,6.19,1.30,11/20,0/3,0/3,DIF,"['Panchinaro', 'Assistman', 'Falloso', 'Giovane talento']",40,40,False,False,False,Roma,STABLE,8
BERTOLA NICOLO,54,nd,nd,nd,28,0.00,0.00,21/30,0/3,0/2,DIF,"['Titolare', 'Giovane talento']",40,60,False,True,False,Udinese,STABLE,0
CALABRESI ARTURO,52,nd,nd,nd,28,0.00,0.00,21/30,0/1,0/2,DIF,['Panchinaro'],40,60,False,False,False,Pisa,STABLE,0
